Block,Cage,Hour,Minute,Time,z,x,y,Perch,Beh,Disturbed,Observer,Notes,Animal
3,D,13,30,13.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,13,30,13.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,14,0,14,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,14,0,14,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,14,0,14,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,14,0,14,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,14,0,14,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,14,30,14.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,14,30,14.5,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,14,30,14.5,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,14,30,14.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,14,30,14.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,15,0,15,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,15,0,15,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,15,0,15,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,15,0,15,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,15,0,15,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,15,30,15.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,15,30,15.5,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,15,30,15.5,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,15,30,15.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,15,30,15.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
